gold_id,base_date,item_name,price_krw,weight_kg,price_per_gram,price_per_ounce,created_at,updated_at,deleted_at,deleted_yn
123,2023-03-31,"금 99.99_1Kg",82430,1.0000,82.4300,2650.1841,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
124,2023-03-31,"미니금 99.99_100g",82290,0.1000,822.9000,26456.8296,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
125,2023-04-03,"금 99.99_1Kg",82540,1.0000,82.5400,2653.7206,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
126,2023-04-03,"미니금 99.99_100g",82310,0.1000,823.1000,26463.2598,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
127,2023-04-04,"금 99.99_1Kg",83430,1.0000,83.4300,2682.3348,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
128,2023-04-04,"미니금 99.99_100g",83180,0.1000,831.8000,26742.9710,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
129,2023-04-05,"금 99.99_1Kg",84980,1.0000,84.9800,2732.1684,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
130,2023-04-05,"미니금 99.99_100g",84680,0.1000,846.8000,27225.2319,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
131,2023-04-06,"금 99.99_1Kg",85300,1.0000,85.3000,2742.4566,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
132,2023-04-06,"미니금 99.99_100g",85160,0.1000,851.6000,27379.5554,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
133,2023-04-07,"금 99.99_1Kg",86330,1.0000,86.3300,2775.5719,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
134,2023-04-07,"미니금 99.99_100g",85820,0.1000,858.2000,27591.7501,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
135,2023-04-10,"금 99.99_1Kg",84800,1.0000,84.8000,2726.3813,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
136,2023-04-10,"미니금 99.99_100g",84110,0.1000,841.1000,27041.9728,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
137,2023-04-11,"금 99.99_1Kg",85030,1.0000,85.0300,2733.7759,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
138,2023-04-11,"미니금 99.99_100g",84500,0.1000,845.0000,27167.3606,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
139,2023-04-12,"금 99.99_1Kg",85880,1.0000,85.8800,2761.1041,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
140,2023-04-12,"미니금 99.99_100g",85580,0.1000,855.8000,27514.5884,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
141,2023-04-13,"금 99.99_1Kg",85170,1.0000,85.1700,2738.2770,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
142,2023-04-13,"미니금 99.99_100g",85000,0.1000,850.0000,27328.1142,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
143,2023-04-14,"금 99.99_1Kg",85360,1.0000,85.3600,2744.3857,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
144,2023-04-14,"미니금 99.99_100g",85000,0.1000,850.0000,27328.1142,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
145,2023-04-17,"금 99.99_1Kg",84750,1.0000,84.7500,2724.7737,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
146,2023-04-17,"미니금 99.99_100g",84200,0.1000,842.0000,27070.9084,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
147,2023-04-18,"금 99.99_1Kg",84700,1.0000,84.7000,2723.1662,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
148,2023-04-18,"미니금 99.99_100g",84300,0.1000,843.0000,27103.0591,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
149,2023-04-19,"금 99.99_1Kg",84700,1.0000,84.7000,2723.1662,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
150,2023-04-19,"미니금 99.99_100g",84290,0.1000,842.9000,27099.8441,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
151,2023-04-20,"금 99.99_1Kg",84720,1.0000,84.7200,2723.8092,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
152,2023-04-20,"미니금 99.99_100g",84300,0.1000,843.0000,27103.0591,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
153,2023-04-21,"금 99.99_1Kg",84900,1.0000,84.9000,2729.5963,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
154,2023-04-21,"미니금 99.99_100g",84850,0.1000,848.5000,27279.8881,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
155,2023-04-24,"금 99.99_1Kg",84780,1.0000,84.7800,2725.7383,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
156,2023-04-24,"미니금 99.99_100g",84600,0.1000,846.0000,27199.5113,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
157,2023-04-25,"금 99.99_1Kg",85260,1.0000,85.2600,2741.1706,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
158,2023-04-25,"미니금 99.99_100g",85000,0.1000,850.0000,27328.1142,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
159,2023-04-26,"금 99.99_1Kg",85700,1.0000,85.7000,2755.3169,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
160,2023-04-26,"미니금 99.99_100g",85500,0.1000,855.0000,27488.8678,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
161,2023-04-27,"금 99.99_1Kg",86000,1.0000,86.0000,2764.9621,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
162,2023-04-27,"미니금 99.99_100g",85600,0.1000,856.0000,27521.0185,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
163,2023-04-28,"금 99.99_1Kg",85280,1.0000,85.2800,2741.8136,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
164,2023-04-28,"미니금 99.99_100g",85200,0.1000,852.0000,27392.4156,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
165,2023-05-02,"금 99.99_1Kg",85400,1.0000,85.4000,2745.6717,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
166,2023-05-02,"미니금 99.99_100g",85160,0.1000,851.6000,27379.5554,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
167,2023-05-03,"금 99.99_1Kg",86460,1.0000,86.4600,2779.7515,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
168,2023-05-03,"미니금 99.99_100g",86300,0.1000,863.0000,27746.0736,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
169,2023-05-04,"금 99.99_1Kg",86720,1.0000,86.7200,2788.1107,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
170,2023-05-04,"미니금 99.99_100g",86350,0.1000,863.5000,27762.1490,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
171,2023-05-08,"금 99.99_1Kg",85920,1.0000,85.9200,2762.3901,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
172,2023-05-08,"미니금 99.99_100g",85700,0.1000,857.0000,27553.1693,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
173,2023-05-09,"금 99.99_1Kg",86400,1.0000,86.4000,2777.8224,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
174,2023-05-09,"미니금 99.99_100g",85900,0.1000,859.0000,27617.4707,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
175,2023-05-10,"금 99.99_1Kg",86460,1.0000,86.4600,2779.7515,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
176,2023-05-10,"미니금 99.99_100g",86060,0.1000,860.6000,27668.9119,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
177,2023-05-11,"금 99.99_1Kg",86350,1.0000,86.3500,2776.2149,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
178,2023-05-11,"미니금 99.99_100g",86120,0.1000,861.2000,27688.2023,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
179,2023-05-12,"금 99.99_1Kg",86170,1.0000,86.1700,2770.4278,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
180,2023-05-12,"미니금 99.99_100g",85960,0.1000,859.6000,27636.7611,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
181,2023-05-15,"금 99.99_1Kg",86450,1.0000,86.4500,2779.4300,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
182,2023-05-15,"미니금 99.99_100g",86130,0.1000,861.3000,27691.4174,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
183,2023-05-16,"금 99.99_1Kg",86460,1.0000,86.4600,2779.7515,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
184,2023-05-16,"미니금 99.99_100g",86120,0.1000,861.2000,27688.2023,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
185,2023-05-17,"금 99.99_1Kg",85780,1.0000,85.7800,2757.8890,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
186,2023-05-17,"미니금 99.99_100g",85450,0.1000,854.5000,27472.7925,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
